name,naics_code,naics_label
White Horse,327,
Wealth Solution Partners,523,
PMG,562,
TMP Capital PLLC,522,Credit Intermediation and Related Activities
Genertek Power,221,
HQ Machine Tech,332,Fabricated Metal Product Manufacturing
iFleet,532,
Strategic Benefit Resources,524,
Billington Holdings,332,
Haram Couture,444,
Regina Dent,811,
Flagg Consulting,541611,
Nerveless Nocks,711,"Performing Arts, Spectator Sports, and Related Industries"
Satatuote,326,Plastics and Rubber Products Manufacturing
H2O Vend,722,
Chrome Horse Saloon,722,
Emily Brown Physical Therapy,621,
Tax Service,541213,
Wholesale Trailers,441,Motor Vehicle and Motor Vehicle Parts and Supplies Wholesalers
Shivashrit Foods,311,
Preston Dental Care,621,
BAHRAIN WORKSHOP COMPANY W.L.L,333,
Partitions,238,
Travell,561,Travel Arrangement and Reservation Services
LEISIDUN,335,
Geological Service,541360,
3H DECOR,238,
Al Rahimah,423830,
Al Amwaj,238,
Adyjohns,315,
Forschene,334,
Black Oak Wilderness,611,
SideKick,561,
Hiap Shing,488,Support Activities for Transportation
Virginia Eagle,445,
Auto-jet,336,
RAP Power Industries,423,
Sheet Metal Crafters,332,
They Poop,562,
Preps Recruiting,561,
East Calais Community Trust,813,
The Fresh Toast,511,Publishing industries (except Internet)
Ship Finance Maritime,488,Support Activities for Transportation
NuGen Systems,335,
VAI Capital,523,Investment Advice
HIKS,451,
Cleveland Mica, 335,
Green Bus Brewing,312,
Teleli Golf Club,713,
Ormond Aircraft,481,
HITV Lab,541940,
Palermo Lubricants,213,
Shri Bharat Agencies,423830,
Stoneage Granite and Marble,238,
77 STORAGE,531,
White Water Marine Hardware,336,
Star of the Sea Seafood,311,
Emvo Techniek,423,
Floors and More,238,
Novacan,327,
Gerbon Hardware,423,
Radiation,611,
Brick Corner,623,
Eureka Aircraft,336,
Florida Title Services,541191,
L.A. Metropolitan,621,Ambulatory Health Care Services
Custom Edge,337,
MCR Labs,541,
Grace Hopper,611,
Glomacht,333,
Family Crisis Shelter,813,
BARCODE SERVICES,325,
Migs Tints,811112,
Produstrial,423,
Ovenware,335,
Trans seasons group,322,
Colendor,211,
City Connect Bus,485,
CHP Finishing,238,
Multipix,443,
Mold Masters, 541620,
Greenwich Forge,332,
Lehar Pharma Distributors,424,
Revoh,334,
Global Space Exchange,541910,
Key2Cell,517,
Seahch,448,
Cooper & Company Interior Design Services,541310,
Sheraz Cargo,484,
The Vape Boutique,453,
Raseet,446,
Fine Patio Design,236,
Next Level Metal Polishing,332,
LAKA,238,
OMIC,524,Insurance Carriers
SureTrac Systems,451,
Delphi Music Group,512,
Rekindle Wellness,621,
Balmy Beach Community Day Care,624,
Stove and Fireplace Fitters,443,
Ideal Supplies,325,
Criswell Commercial,441,
Aire Candles,446,
Findlay Food Coatings,311,Food Manufacturing
Shri Ujjwal Communication,811,
Upstate Glass Tempering,327,
Andrew Sell My Car Louisville,441,
Arraytech,611,
Union Steel,331,
Appalachian Electronic Instruments,334,
King Arts Tattoo,812,
MTC Global Trading,444,
Hanover Financial Solutions,523,
FPA Legal Defense,524,Insurance Carriers
Assisted Living Near Me, 813,
Spectrum Resource Group,541,
MGENPower,221,
Bare Bones Ice,312,
KRL,237,
Laboratory Glass Apparatus,327,
Ritossa,337,
Ocsun,326,Plastics and Rubber Products Manufacturing
Knowledgeworld,451,
Camp Live Oak,721,
HCM TradeSeal,541,"Professional, Scientific, and Technical Services"
JEM Contractors,238,
Cloud Ocean Line,488,Support Activities for Transportation
Cardiac Sports,451,
Kurt,333,
Financika,523,
Osmonic Corporation,221,
MyEyeStore,446,
Graphx Printing,323,
Sutherland adventure,561,
Magnolia Power Group,221,
Imaginatuluz,335,"Electrical Equipment, Appliance, and Component Manufacturing"
Housing To Behold,813,
PSH PowerWash Co.,561,Administrative and Support Services
Abroad Experience,561,Administrative and Support Services
Variantyx,621,
OMNI AR,561,Administrative and Support Services
Coles Gun Shop, 451,
SWORDHF,333,
Mahadev Hotels,721,
Resmer Power,221,
Inspirations By Elegance,453,
Canine Angels,339,
Social Media Investigations,561,
Earlham,519,
The Infusion Clinic,621,
XPMCARINGWORLD,813,
King Asillion,523,
Kehuco,238,
ArtSource Studio,541921,
Community Science,541,
Akinleye Cement Depot,327,Nonmetallic Mineral Product Manufacturing
Vector Fuels,424,"Merchant Wholesalers, Nondurable Goods"
Spray Foam Equipment, 423,
Capstone Plastering,238,
Tech-Sharp Enviro,5418,
Blackrock Cellar,445,
Cal State Renovations, 326,
The Rowan Atlee Foundation,813,
Static charging,335,
Central Home Delivery 2010,492,
The Wendell Historical Society,813,
Apex Herbals,446,Health and Personal Care Stores
Capital Sanitary,423,
Nortons Floorsanding,238,
U-Frame-It Gallery,453,
Paras Steel Corporation,332,
REIAsure,524,
Santos Timber Company,321,
Beta Solutions,561930,
SwissKnowledge,611420,
All Parrot Products,453,
MxV,561,
Connie Deckert, 713,
Peter Petrou Fitness,713,
Altman Plants,444,
Qihui Cases,316,
Pleasant Hill Excavators,238,
TREE DIMENSIONAL,561,
Expedite All,484,Truck Transportation
Ennis Top Pizza,722,
Bunelle,444,
Economics,611,
NewPath Health Solutions,621,
PDI Health,621,
EONSLY,332,
Giorgio Luxury,337,
Dnyanjyoti Institute Of Fashion designing,611,
Oxley Garage Doors,238,
Infrastructure Unlimited,237,
Amcor Carpets & Interiors,238,
Iran Sang Ara,212,
J.I.K ENGINEERING COMPANY LIMITED,236,
Octava,443,
Riverview Drywall and Paint,238,
1905 Candle Company,339,
Xeration Services,561,Administrative and Support Services
Sure Filter,333,
Oceans Logistix,488,
Richmond Beach Library,519,
Vin2U Wine Group,424,
The Fitting Company, 541930,
The Beer Room,722,
DewEze,333,
Real Hosts,518,
Timber Tomorrow,113,
New York Thermal Systems,423830,
Collectorshells,326,
Natural Gallery,236,
MSI Avionics,336,
MK Paper Packaging,322,
HRS Process Systems,333,
Valley Transmission,811,
Yeti Electric Services,238,
STS Rent a Car,532,
APP Lifting,333,
Lexington Glassworks, 327,
JLE TRADING,445,
Eurobots,333,
CCL Container,332,
NATE Health,541,
BALUNGISI,336,
Devin Systems,211,
